ID;Categories;Name;Categories;Challenge;1. NO POVERTY;2. ZERO HUNGER;3. GOOD HEALTH & WELL-BEING;4. QUALITY EDUCATION;5. GENDER EQUALITY;6. CLEAN WATER & SANITATION;7. AFFORDABLE & CLEAN ENERGY;8. DECENT WORK & ECONOMIC GROWTH;9. INDUSTRY, INNOVATION & INFRASTRUCTURE;10. REDUCED INEQUALITIES;11. SUSTAINABLE CITIES & COMMUNITIES;12. RESPONSIBLE CONSUMPTION & PRODUCTION;13. CLIMATE ACTION;14. LIFE BELOW WATER;15. LIFE ON LAND;16. PEACE, JUSTICE & STRONG INSTITUTIONS;17. PARTNERSHIPS FOR THE GOALS;1. INFANT AID;2. IMPAIRMENT DEVICES (SIGHT & SOUND);3. DISEASES AID & AWARNESS;4. PROSTHETICS; 5.FOOD SUSTAINABILITY; 6. PERSONAL MOBILITY/AID;7.DISEASES TREATMENT;8. CONSCIENTIUS CONSUMPTION/BEHAVIER;9. SAFETY;10.RECLAIMING THE CITY;11. SELF-SUSTAINING RESOURCES;12. DIGITAL SOCIETY;13. MOBILITY & ALTERNATIV TRANSPORTATION;14. ALTERNATIV ENERGY;15. LIGHT;16.WATER SAVING;17. DISPLACEMENT;18. SAFE WATER;19. FINANSIEL EMPOWERMENT;20. DECENTRALIZATION OF HEALTHCARE (Remote doctors);21. EMPOWER PEOPLE LOCAL;22. PROTECTION FOR WORKERS;23. HEAVY LIFTING/WORK AIDS FOR WORKERS;24. 3 D PRINT;25. SHARING ECONOMY (KNOWLEDGE AND SKILLS);26. PLAY AS PREVENTION OF DISEASE;27. PHYSICAL ENVIRONMENT FOR LEARNING ;28. PURPOSEFUL GAMING;29. Closing the digital divide;30. ALTERNATIVE LEARNING / INFORMATION;31. APPLIED DESIGN THINKING;32. EMPOWERING GIRLS & WOMEN;33. FLEXIBLE LIVING;34. MATERIALS;35. INTERNET OF THINGS;36. SANITATION;37. AFFORDABLE HOUSING;38. PERSONAL EMPOWERMENT;39. BIOMIMICRY;40. CLIMATE ADAPTATION;41. WEARABLES;42. CRISIS RESPONS;43. WASTE MANAGEMENT;44. CIVIL PROMOTION
71;2005;Personal Water Cleaner OPV;HOME;Water;;;3;;;6;;;;;;;;;;;;;;;;;;;8;9;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
72;2005;Power Mac 5/Cinema Display system;PLAY_LEARNING;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2005;Project Fox;COMMUNITY;Communication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;2005;Project Infusion;WORK;Poverty;1;;;;;;;;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;
75;2005;Rescuerunner;WORK;Working conditions;;;;;;;;;9;;;;;;;;;;;;;;;;;9;;;12;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
76;2005;RIQUADRO Design data contextualization and analysis system;PLAY_LEARNING;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2005;Round Zone Container;HOME;Sustainable living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;2005;Sandbug and Gofer;WORK;Working conditions;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
79;2005;ScooterDesk;WORK;Working conditions;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;
80;2005;SIM Carpet Simulation;COMMUNITY;Enviroment;;;;;;;;;;;;12;;;;;;;;;;;;;8;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;2005;Simple Toilet-Emergency Sanitation;BODY;Health;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;;;;;;;;
82;2005;SimplyCity;COMMUNITY;Infrastructure;;;;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;2005;SitBag;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
84;2005;Skype;COMMUNITY;Communication;;;;;;;;8;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;29;;;;;;;;;;;;;;;
85;2005;Snail Housetrap;HOME;Sustainable living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
86;2005;Socialcommercialism;COMMUNITY;Enviroment;;;3;;;;;;;10;;12;;;;;;;;;;;;;8;;;;;;14;;;;;;;;;;;;;;;;;31;;;;;;;;;;41;;;
87;2005;SOFTWALL;HOME;Sustainable living;;;;;;;;;9;;;12;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;33;;;;;;;;;;;
88;2005;Solar pasteurisation unit;HOME;Water;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
89;2005;Solar Surgery Light;WORK;Working conditions;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;11;;;;15;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
90;2005;SpaceShipOne;COMMUNITY;Transportation;;;;;;;;8;9;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;2005;SpeediCath Compact;BODY;Health;;;3;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;2005;SQFlex;HOME;Water;;;;;;6;7;;;;;;;;;;;;;;;;;;;;;11;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;
93;2005;Sun Shelter Pavilion, Frank Rice Safehaven;HOME;Housing;1;;;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;2005;Syopa (= cancer in Finnish) trademark;COMMUNITY;Communication;;;3;;;;;;;;;;;;;;17;;;3;;;;;8;;;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;;;;;
95;2005;Tank Park;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;14;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;2005;Tennis racket pick-up ball accessory;PLAY_LEARNING;Leisure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;2005;The ‘RAM-Exchange': Informality as ICT Interface Model;WORK;Money;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;12;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;
98;2005;The “SOS” Infant Nursing Packs;BODY;Health;;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;
99;2005;The EcoSource project;COMMUNITY;Enviroment;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
100;2005;The Evolutionary Housing System;HOME;Housing;;;;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;2005;The Helping Hand, IDAS I;BODY;Health;;;3;;;;;;9;;;;;;;;;;;3;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;2005;The Lifeport Kidney Transporter;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;2005;the vOICe;BODY;Health;;;;;;;;;9;10;;;;;;;;;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2005;Toyota Prius;COMMUNITY;Transportation;;;;;;;;;9;;11;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;2005;Trijak – a new watercraft;PLAY_LEARNING;Leisure;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;
106;2005;trioBike;COMMUNITY;Transportation;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;2005;Turbo Stove;HOME;Safety;;;3;;;;7;;;;;;;;;;;;;;;;;;;9;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;2005;Unplugged – Mobilizing Power;COMMUNITY;Energy;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;2005;Vivid-i;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;2005;WIKI Software: Beyond Blogs;COMMUNITY;Communication;;;;4;;;;;;;;;;;;16;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;29;30;;;;;;;;;;;;;;
111;2005;Wovin Wall System;HOME;Sustainable living;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;2005;Xtreme West;PLAY_LEARNING;Leisure;;;3;;;;;;;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;
113;2005;Zip-Shelter;HOME;Housing;1;;;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;2007;6LOCKERS;HOME;Housing;;;;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;2007;A BRIDGE 2 FAR;COMMUNITY;Infrastructure;;;;;;;;;9;;11;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;31;;;;;;;;;40;;;;
116;2007;AIRWASH;HOME;Sustainable living;;;;;;;;;;;;12;;;;;;;;;;;;;;;;11;;;14;;16;;;;;;;;;;;;;;30;;;;;;;;;;;;;;
117;2007;ANYBODY MODELLING SYSTEM;WORK;Digitalization;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;2007;AQUARIUS Keyboard;WORK;Digitalization;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;29;;;;;;;;;38;;;;;;
119;2007;BASF HEAT Concepts;HOME;Safety;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;2007;BCK SOLAR COOKER;HOME;Sustainable living;;;;;;;7;;;;;;;;;;;;;;;;;;;;;11;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;2007;BLACKENED CIGARETTES;BODY;Health;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;2007;BLUETOOTH HANDS FREE CAR KIT;COMMUNITY;Safety;;;;;;;;;9;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;2007;C-CAP;BODY;Health;;;3;;;;;;9;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;2007;CAROMA;HOME;Sanitation;;;;;;6;;;;;;12;;;;;;;;;;;;;;;;11;;;;;16;;;;;;;;;;;;;;;;;;;;36;;;;;;;;
125;2007;CASSETTE 3IN1;WORK;Working conditions;;;3;;;;;8;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;
126;2007;CATERPILLAR SCOOP;COMMUNITY;Transportation;;;3;;;;;;;10;;;;;;;;;;;;;6;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;2007;CHANGING LIVES;PLAY_LEARNING;Education;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;31;;;;;;;;;;;;;
