ID;ID_DESIGN;ID_UN;;
208;210;4;;
209;234;4;;
210;249;4;;
211;271;4;;
212;296;4;;
213;345;4;;
214;161;4;;
215;188;4;;
216;374;4;;
217;39;4;;
218;413;4;;
219;2;4;;
220;151;4;;
221;171;4;;
222;366;4;;
223;381;4;;
224;439;4;;
225;383;4;;
226;259;4;;
227;53;4;;
228;62;4;;
229;65;4;;
230;127;4;;
231;145;4;;
232;157;4;;
233;173;4;;
234;177;4;;
235;204;4;;
236;255;4;;
237;261;4;;
238;274;4;;
239;298;4;;
240;304;4;;
241;317;4;;
242;420;5;;
243;388;5;;
244;357;5;;
245;332;5;;
246;319;5;;
247;235;5;;
248;396;5;;
249;45;5;;
250;158;5;;
251;308;5;;
252;332;6;;
253;45;6;;
254;55;6;;
255;71;6;;
256;81;6;;
257;88;6;;
258;291;6;;
259;281;6;;
260;124;6;;
261;236;6;;
262;265;6;;
263;297;6;;
264;435;6;;
265;302;6;;
266;346;6;;
267;92;6;;
268;268;6;;
269;11;6;;
270;46;6;;
271;193;6;;
272;327;6;;
273;339;6;;
274;342;6;;
275;348;6;;
276;412;6;;
277;92;7;;
278;268;7;;
279;318;7;;
280;259;7;;
281;107;7;;
282;216;7;;
283;295;7;;
284;382;7;;
285;397;7;;
286;4;7;;
287;194;7;;
288;226;7;;
289;344;7;;
290;356;7;;
291;140;7;;
292;248;7;;
293;276;7;;
294;325;7;;
295;64;7;;
296;179;7;;
297;376;7;;
298;43;7;;
299;108;7;;
300;120;7;;
301;155;7;;
302;215;7;;
303;254;7;;
304;269;7;;
305;282;7;;
306;334;7;;
307;373;7;;
308;386;7;;
309;440;7;;
310;376;8;;
311;302;8;;
312;346;8;;
313;357;8;;
314;67;8;;
315;283;8;;
316;423;8;;
317;431;8;;
318;294;8;;
319;296;8;;
320;345;8;;
321;39;8;;
322;413;8;;
323;383;8;;
324;409;8;;
325;361;8;;
326;79;8;;
327;89;8;;
328;125;8;;
329;166;8;;
330;183;8;;
331;184;8;;
332;229;8;;
333;186;8;;
334;245;8;;
335;267;8;;
336;272;8;;
337;333;8;;
338;389;8;;
339;347;8;;
340;135;8;;
341;63;8;;
342;379;8;;
343;280;8;;
344;220;8;;
345;29;8;;
346;90;8;;
347;84;8;;
348;232;8;;
349;387;8;;
350;407;8;;
351;32;8;;
352;36;8;;
353;78;8;;
354;97;8;;
355;138;8;;
356;160;8;;
357;200;8;;
358;218;8;;
359;279;8;;
360;316;8;;
361;390;8;;
362;67;9;;
363;296;9;;
364;345;9;;
365;63;9;;
366;220;9;;
367;29;9;;
368;90;9;;
369;435;9;;
370;235;9;;
371;271;9;;
372;161;9;;
373;188;9;;
374;374;9;;
375;312;9;;
376;446;9;;
377;251;9;;
378;380;9;;
379;101;9;;
380;391;9;;
381;393;9;;
382;13;9;;
383;44;9;;
384;68;9;;
385;102;9;;
386;109;9;;
387;123;9;;
388;152;9;;
389;154;9;;
390;163;9;;
391;174;9;;
392;176;9;;
393;187;9;;
394;195;9;;
395;203;9;;
396;207;9;;
397;212;9;;
398;237;9;;
399;239;9;;
400;240;9;;
401;250;9;;
402;285;9;;
403;289;9;;
404;300;9;;
405;306;9;;
406;322;9;;
407;331;9;;
408;400;9;;
409;414;9;;
410;428;9;;
411;437;9;;
412;445;9;;
413;436;9;;
414;365;9;;
415;142;9;;
416;307;9;;
417;321;9;;
418;323;9;;
419;377;9;;
420;10;9;;
421;22;9;;
422;28;9;;
423;87;9;;
424;358;9;;
425;362;9;;
426;398;9;;
427;444;9;;
428;104;9;;
429;115;9;;
430;418;9;;
431;56;9;;
432;198;9;;
433;54;9;;
434;103;9;;
435;165;9;;
436;275;9;;
437;277;9;;
438;405;9;;
439;422;9;;
440;9;9;;
441;16;9;;
442;19;9;;
443;30;9;;
444;31;9;;
445;49;9;;
446;72;9;;
447;75;9;;
448;76;9;;
449;117;9;;
450;122;9;;
451;141;9;;
452;147;9;;
453;182;9;;
454;284;9;;
455;310;9;;
456;320;9;;
457;355;9;;
458;404;9;;
459;417;9;;
460;432;9;;
461;271;10;;
462;251;10;;
463;380;10;;
464;391;10;;
465;393;10;;
466;56;10;;
467;198;10;;
468;54;10;;
469;103;10;;
470;165;10;;
471;275;10;;
472;277;10;;
473;405;10;;
474;422;10;;
475;283;10;;
476;39;10;;
477;413;10;;
478;245;10;;
479;84;10;;
480;232;10;;
481;387;10;;
482;407;10;;
483;318;10;;
484;420;10;;
485;388;10;;
486;319;10;;
487;396;10;;
488;159;10;;
489;416;10;;
490;403;10;;
491;411;10;;
492;2;10;;
493;151;10;;
494;171;10;;
495;366;10;;
496;381;10;;
497;439;10;;
498;86;10;;
499;1;10;;
500;27;10;;
501;34;10;;
502;126;10;;
503;162;10;;
504;168;10;;
505;169;10;;
506;214;10;;
507;225;10;;
508;266;10;;
509;278;10;;
510;288;10;;
511;303;10;;
512;349;10;;
513;352;10;;
514;401;10;;
515;42;10;;
516;70;10;;
517;74;10;;
518;93;10;;
519;113;10;;
520;180;10;;
521;191;10;;
522;196;10;;
523;242;10;;
524;270;10;;
525;350;10;;
526;406;10;;
527;408;10;;
528;426;10;;
529;6;10;;
530;178;10;;
531;24;10;;
532;37;10;;
533;48;10;;
534;114;10;;
535;118;10;;
536;129;10;;
537;153;10;;
538;167;10;;
539;213;10;;
540;245;11;;
541;24;11;;
542;312;11;;
543;436;11;;
544;142;11;;
545;377;11;;
546;104;11;;
547;115;11;;
548;418;11;;
549;135;11;;
550;280;11;;
551;4;11;;
552;194;11;;
553;226;11;;
554;64;11;;
555;179;11;;
556;281;11;;
557;313;11;;
558;309;11;;
559;249;11;;
560;12;11;;
561;371;11;;
562;370;11;;
563;25;11;;
564;112;11;;
565;257;11;;
566;311;11;;
567;364;11;;
568;305;11;;
569;35;11;;
570;181;11;;
571;201;11;;
572;205;11;;
573;222;11;;
574;335;11;;
575;336;11;;
576;363;11;;
577;394;11;;
578;430;11;;
579;253;11;;
580;264;11;;
581;392;11;;
582;427;11;;
583;20;11;;
584;51;11;;
585;82;11;;
586;100;11;;
587;106;11;;
588;128;11;;
589;148;11;;
590;230;11;;
591;244;11;;
592;263;11;;
593;299;11;;
594;301;11;;
595;328;11;;
596;385;11;;
597;142;12;;
598;377;12;;
599;4;12;;
600;281;12;;
601;253;12;;
602;264;12;;
603;392;12;;
604;427;12;;
605;86;12;;
606;63;12;;
607;307;12;;
608;321;12;;
609;323;12;;
610;10;12;;
611;22;12;;
612;28;12;;
613;87;12;;
614;358;12;;
615;362;12;;
616;398;12;;
617;444;12;;
618;294;12;;
619;361;12;;
620;347;12;;
621;379;12;;
622;140;12;;
623;248;12;;
624;276;12;;
625;325;12;;
626;291;12;;
627;124;12;;
628;236;12;;
629;265;12;;
630;297;12;;
631;434;12;;
632;258;12;;
633;189;12;;
634;210;12;;
635;234;12;;
636;273;12;;
637;367;12;;
638;425;12;;
639;438;12;;
640;448;12;;
641;314;12;;
642;354;12;;
643;419;12;;
644;133;12;;
645;233;12;;
646;292;12;;
647;351;12;;
648;399;12;;
649;442;12;;
650;231;12;;
651;286;12;;
652;384;12;;
653;8;12;;
654;23;12;;
655;58;12;;
656;60;12;;
657;61;12;;
658;80;12;;
659;99;12;;
660;116;12;;
661;121;12;;
662;132;12;;
663;137;12;;
664;143;12;;
665;149;12;;
666;156;12;;
667;175;12;;
668;190;12;;
669;197;12;;
670;199;12;;
671;202;12;;
672;208;12;;
673;238;12;;
674;241;12;;
675;326;12;;
676;338;12;;
677;341;12;;
678;359;12;;
679;368;12;;
680;375;12;;
681;415;12;;
682;429;12;;
683;4;13;;
684;189;13;;
685;419;13;;
686;442;13;;
687;231;13;;
688;286;13;;
689;384;13;;
690;312;13;;
691;135;13;;
692;194;13;;
693;226;13;;
694;370;13;;
695;181;13;;
696;201;13;;
697;205;13;;
698;222;13;;
699;335;13;;
700;336;13;;
701;363;13;;
702;394;13;;
703;430;13;;
704;446;13;;
705;344;13;;
706;356;13;;
707;5;13;;
708;38;13;;
709;144;13;;
710;443;13;;
711;17;13;;
712;442;14;;
713;258;14;;
714;95;14;;
715;258;15;;
716;419;15;;
717;135;15;;
718;5;15;;
719;38;15;;
720;144;15;;
721;443;15;;
722;142;15;;
723;307;15;;
724;321;15;;
725;323;15;;
726;291;15;;
727;133;15;;
728;233;15;;
729;292;15;;
730;351;15;;
731;399;15;;
732;436;15;;
733;371;15;;
734;35;15;;
735;186;15;;
736;146;15;;
737;221;15;;
738;411;16;;
739;6;16;;
740;178;16;;
741;389;16;;
742;110;16;;
743;252;16;;
744;402;16;;
745;66;16;;
746;395;16;;
747;389;17;;
748;347;17;;
749;314;17;;
750;354;17;;
751;12;17;;
752;420;17;;
753;378;17;;
754;136;17;;
755;94;17;;
756;410;17;;
757;324;17;;
758;329;17;;
759;340;17;;
