ID	ID_DESIGN	ID_TREND		
301	276	11		
302	124	11		
303	236	11		
304	265	11		
305	116	11		
306	132	11		
307	143	11		
308	149	11		
309	202	11		
310	309	11		
311	244	11		
312	439	11		
313	435	11		
314	235	11		
315	376	11		
316	302	11		
317	346	11		
318	89	11		
319	92	11		
320	268	11		
321	259	11		
322	216	11		
323	295	11		
324	382	11		
325	397	11		
326	43	11		
327	120	11		
328	155	11		
329	215	11		
330	254	11		
331	269	11		
332	282	11		
333	334	11		
334	373	11		
335	386	11		
336	440	11		
337	11	11		
338	342	11		
339	412	11		
340	261	11		
341	119	11		
342	354	12		
343	362	12		
344	439	12		
345	75	12		
346	424	12		
347	205	12		
348	338	12		
349	13	12		
350	44	12		
351	422	12		
352	416	12		
353	29	12		
354	320	12		
355	21	12		
356	251	12		
357	103	12		
358	275	12		
359	405	12		
360	278	12		
361	369	12		
362	389	12		
363	420	12		
364	324	12		
365	329	12		
366	411	12		
367	110	12		
368	252	12		
369	66	12		
370	395	12		
371	292	12		
372	392	12		
373	10	12		
374	28	12		
375	444	12		
376	438	12		
377	137	12		
378	190	12		
379	418	12		
380	249	12		
381	271	12		
382	56	12		
383	277	12		
384	39	12		
385	413	12		
386	84	12		
387	387	12		
388	407	12		
389	318	12		
390	388	12		
391	2	12		
392	151	12		
393	381	12		
394	74	12		
395	242	12		
396	426	12		
397	118	12		
398	67	12		
399	345	12		
400	161	12		
401	188	12		
402	374	12		
403	428	12		
404	19	12		
405	49	12		
406	72	12		
407	76	12		
408	117	12		
409	141	12		
410	310	12		
411	355	12		
412	404	12		
413	417	12		
414	432	12		
415	383	12		
416	79	12		
417	32	12		
418	97	12		
419	279	12		
420	316	12		
421	390	12		
422	158	12		
423	53	12		
424	177	12		
425	274	12		
426	298	12		
427	219	12		
428	192	12		
429	50	12		
430	205	13		
431	392	13		
432	418	13		
433	312	13		
434	336	13		
435	3	13		
436	226	13		
437	24	13		
438	380	13		
439	391	13		
440	126	13		
441	214	13		
442	37	13		
443	48	13		
444	165	13		
445	352	13		
446	349	13		
447	350	13		
448	169	13		
449	181	13		
450	201	13		
451	335	13		
452	344	13		
453	377	13		
454	361	13		
455	104	13		
456	106	13		
457	128	13		
458	34	13		
459	225	13		
460	90	13		
461	68	13		
462	166	13		
463	105	13		
464	33	13		
465	205	14		
466	336	14		
467	226	14		
468	344	14		
469	377	14		
470	439	14		
471	318	14		
472	443	14		
473	4	14		
474	356	14		
475	248	14		
476	276	14		
477	116	14		
478	235	14		
479	43	14		
480	120	14		
481	155	14		
482	215	14		
483	254	14		
484	282	14		
485	334	14		
486	386	14		
487	440	14		
488	412	14		
489	135	14		
490	446	14		
491	86	14		
492	194	14		
493	108	14		
494	254	15		
495	194	15		
496	244	15		
497	376	15		
498	89	15		
499	259	15		
500	216	15		
501	382	15		
502	397	15		
503	269	15		
504	373	15		
505	119	15		
506	148	15		
507	325	15		
508	179	15		
509	116	16		
510	135	16		
511	338	16		
512	384	16		
513	419	16		
514	436	16		
515	367	16		
516	365	16		
517	146	16		
518	281	16		
519	124	16		
520	236	16		
521	265	16		
522	435	16		
523	297	16		
524	197	16		
525	45	16		
526	329	17		
527	426	17		
528	264	17		
529	430	17		
530	257	17		
531	232	17		
532	70	17		
533	93	17		
534	113	17		
535	180	17		
536	191	17		
537	196	17		
538	270	17		
539	406	17		
540	114	17		
541	267	17		
542	272	17		
543	301	17		
544	130	17		
545	135	18		
546	412	18		
547	370	18		
548	25	18		
549	291	18		
550	92	18		
551	268	18		
552	11	18		
553	342	18		
554	71	18		
555	327	18		
556	193	18		
557	55	18		
558	88	18		
559	46	18		
560	339	18		
561	348	18		
562	387	19		
563	407	19		
564	242	19		
565	97	19		
566	357	19		
567	403	19		
568	296	19		
569	89	20		
570	349	20		
571	225	20		
572	68	20		
573	416	20		
574	369	20		
575	428	20		
576	404	20		
577	287	20		
578	300	20		
579	401	20		
580	378	20		
581	332	20		
582	199	20		
583	414	20		
584	260	20		
585	330	20		
586	353	20		
587	237	20		
588	306	20		
589	98	20		
590	228	20		
591	315	20		
592	410	20		
593	322	20		
594	69	20		
595	378	21		
596	242	21		
597	426	21		
598	318	21		
599	356	21		
600	235	21		
601	350	21		
602	361	21		
603	21	21		
604	389	21		
605	395	21		
606	438	21		
607	413	21		
608	2	21		
609	74	21		
610	67	21		
611	32	21		
612	316	21		
613	186	21		
614	309	21		
615	425	21		
616	328	21		
617	319	21		
618	423	21		
619	333	21		
620	218	21		
621	288	21		
622	331	21		
623	12	21		
624	178	21		
625	371	21		
626	63	21		
627	283	21		
628	42	21		
629	408	21		
630	431	21		
631	62	21		
632	361	22		
633	379	22		
634	421	22		
635	447	22		
636	402	22		
637	125	22		
638	200	22		
639	448	22		
640	220	22		
641	409	22		
642	183	22		
643	184	22		
644	170	22		
645	200	23		
646	220	23		
647	409	23		
648	166	23		
649	75	23		
650	79	23		
651	243	23		
652	182	23		
653	78	23		
654	138	23		
655	444	24		
656	358	24		
657	398	24		
658	444	25		
659	316	25		
660	392	25		
661	201	25		
662	354	25		
663	405	25		
664	324	25		
665	292	25		
666	10	25		
667	28	25		
668	190	25		
669	39	25		
670	381	25		
671	374	25		
672	383	25		
673	210	25		
674	370	26		
675	25	26		
676	312	26		
677	105	26		
678	177	26		
679	192	26		
680	337	26		
681	313	26		
682	112	26		
683	364	26		
684	14	26		
685	159	26		
686	139	26		
687	7	26		
688	177	27		
689	192	27		
690	309	27		
691	62	27		
692	439	27		
693	314	27		
694	127	27		
695	145	27		
696	173	27		
697	317	27		
698	159	28		
699	139	28		
700	413	28		
701	357	28		
702	403	28		
703	420	28		
704	252	28		
705	388	28		
706	161	28		
707	188	28		
708	279	28		
709	340	28		
710	204	28		
711	304	28		
712	403	29		
713	388	29		
714	304	29		
715	39	29		
716	374	29		
717	318	29		
718	2	29		
719	408	29		
720	369	29		
721	248	29		
722	278	29		
723	411	29		
724	110	29		
725	271	29		
726	277	29		
727	84	29		
728	151	29		
729	118	29		
730	345	29		
731	417	29		
732	53	29		
733	168	29		
734	171	29		
735	153	29		
736	403	30		
737	388	30		
738	304	30		
739	39	30		
740	374	30		
741	2	30		
742	369	30		
743	411	30		
744	110	30		
745	277	30		
746	345	30		
747	417	30		
748	53	30		
749	171	30		
750	159	30		
751	413	30		
752	420	30		
753	252	30		
754	161	30		
755	188	30		
756	279	30		
757	340	30		
758	204	30		
759	192	30		
760	309	30		
761	62	30		
762	173	30		
763	317	30		
764	14	30		
765	444	30		
766	324	30		
767	381	30		
768	448	30		
769	378	30		
770	356	30		
771	21	30		
772	389	30		
773	395	30		
774	67	30		
775	186	30		
776	423	30		
777	371	30		
778	63	30		
779	283	30		
780	431	30		
781	416	30		
782	401	30		
783	237	30		
784	296	30		
785	11	30		
786	406	30		
787	116	30		
788	338	30		
789	146	30		
790	37	30		
791	335	30		
792	137	30		
793	249	30		
794	432	30		
795	274	30		
796	298	30		
797	219	30		
798	286	30		
799	346	30		
800	261	30		
801	189	30		
802	35	30		
803	51	30		
804	18	30		
805	434	30		
806	441	30		
807	131	30		
808	8	30		
809	366	30		
810	255	30		
811	209	30		
812	262	30		
813	136	30		
814	258	30		
815	294	30		
816	234	30		
817	99	30		
818	27	30		
819	9	30		
820	16	30		
821	65	30		
822	157	30		
823	85	30		
824	204	31		
825	62	31		
826	317	31		
827	324	31		
828	283	31		
829	441	31		
830	131	31		
831	366	31		
832	209	31		
833	258	31		
834	294	31		
835	234	31		
836	27	31		
837	139	31		
838	127	31		
839	218	31		
840	12	31		
841	178	31		
842	301	31		
843	86	31		
844	115	31		
845	299	31		
846	266	31		
847	163	31		
848	147	31		
849	94	31		
850	162	31		
851	223	31		
852	22	31		
853	58	31		
854	280	31		
855	303	31		
856	213	31		
857	40	31		
858	441	32		
859	388	32		
860	369	32		
861	357	32		
862	319	32		
863	332	32		
864	158	32		
865	50	32		
866	308	32		
867	50	33		
868	314	33		
869	415	33		
870	87	33		
871	160	33		
872	54	33		
873	156	33		
874	83	33		
875	58	34		
876	9	34		
877	16	34		
878	241	34		
879	238	34		
880	57	34		
881	355	35		
882	346	36		
883	124	36		
884	302	36		
885	372	36		
886	81	36		
887	12	37		
888	232	37		
889	272	37		
890	64	37		
891	305	37		
892	20	37		
893	54	38		
894	27	38		
895	411	38		
896	277	38		
897	118	38		
898	288	38		
899	422	38		
900	251	38		
901	140	38		
902	134	38		
903	212	38		
904	393	38		
905	198	38		
906	1	38		
907	154	38		
908	6	38		
909	396	38		
910	292	39		
911	443	39		
912	282	39		
913	321	39		
914	61	39		
915	115	40		
916	430	40		
917	4	40		
918	38	40		
919	222	40		
920	394	40		
921	263	40		
922	385	40		
923	363	40		
924	86	41		
925	446	41		
926	15	41		
927	19	41		
928	97	41		
929	103	41		
930	172	41		
931	169	41		
932	176	41		
933	250	41		
934	312	41		
935	355	41		
936	437	41		
937	378	42		
938	238	43		
939	280	43		
940	189	43		
941	354	43		
942	379	43		
943	442	43		
944	347	43		
945	17	43		
946	359	43		
947	6	44		
